10/29/2025-10:13:08.326345  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57241 -> 210.241.69.194:80
10/29/2025-10:13:25.088869  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.237:7860 -> 172.18.48.80:445
10/29/2025-10:13:25.330430  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.237:7860 -> 172.18.48.80:445
10/29/2025-10:13:39.367613  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.128:8035 -> 172.18.20.36:445
10/29/2025-10:14:02.921409  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.118:2666 -> 172.16.16.56:445
10/29/2025-10:14:03.798093  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.118:2666 -> 172.16.16.56:445
10/29/2025-10:14:08.345769  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57246 -> 210.241.69.194:80
10/29/2025-10:14:11.887960  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.185:1070 -> 172.18.48.80:445
10/29/2025-10:14:12.153500  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.185:1070 -> 172.18.48.80:445
10/29/2025-10:14:26.476328  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.159:12174 -> 172.18.48.80:445
10/29/2025-10:14:26.785297  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.159:12174 -> 172.18.48.80:445
10/29/2025-10:15:08.343868  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57248 -> 210.241.69.194:80
10/29/2025-10:15:18.079522  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.196:20975 -> 172.16.16.56:445
10/29/2025-10:15:19.027126  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.196:20975 -> 172.16.16.56:445
10/29/2025-10:15:25.212672  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.145:7452 -> 172.18.48.80:445
10/29/2025-10:15:25.407372  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.145:7452 -> 172.18.48.80:445
10/29/2025-10:15:30.686428  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.225:55740 -> 172.18.48.80:445
10/29/2025-10:15:30.822343  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.225:55740 -> 172.18.48.80:445
10/29/2025-10:16:08.372342  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57254 -> 210.241.69.194:80
10/29/2025-10:16:20.268342  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.217:9547 -> 172.18.1.109:445
10/29/2025-10:16:20.693229  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.217:9547 -> 172.18.1.109:445
10/29/2025-10:16:27.099093  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.252:53333 -> 172.18.48.80:445
10/29/2025-10:16:27.298582  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.252:53333 -> 172.18.48.80:445
10/29/2025-10:16:31.783626  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.179:13360 -> 172.18.1.107:445
